2024-01-08-16-58-25,220.486032,-37.575746
2024-01-08-16-58-27,221.868911,-18.597633
2024-01-08-16-58-28,222.879075,-1.566577
2024-01-08-16-58-29,223.911518,13.884989
2024-01-08-16-58-30,224.941734,29.140727
2024-01-08-16-58-31,225.974399,43.374942
2024-01-08-16-58-32,227.016774,45.999905
2024-01-08-16-58-36,231.062098,41.754277
2024-01-08-16-58-37,232.429767,22.299802
2024-01-08-16-58-38,233.431481,8.402266
2024-01-08-16-58-39,234.440156,-6.660502
2024-01-08-16-58-40,235.453953,-23.452271
2024-01-08-16-58-41,236.481630,-38.745269
2024-01-08-16-58-42,237.522723,-54.158439
2024-01-08-16-58-43,238.535249,-69.289120
2024-01-08-16-58-44,239.539348,-83.603304
2024-01-08-16-58-45,240.547828,-98.286803
2024-01-08-16-58-46,241.559116,-115.015756
2024-01-08-16-58-47,242.583014,-130.421692
2024-01-08-16-58-49,243.907389,-149.938614
2024-01-08-16-58-50,244.907981,-163.763667
2024-01-08-16-58-51,245.919464,-178.959251
2024-01-08-16-58-52,246.933982,-195.692104
2024-01-08-16-58-53,247.959821,-211.060163
2024-01-08-16-58-54,249.019115,-226.598185
2024-01-08-16-58-55,250.034010,-241.150917
2024-01-08-16-58-56,251.049141,-257.269573
2024-01-08-16-58-57,252.072873,-272.783283
2024-01-08-16-58-58,253.099319,-288.103951
2024-01-08-16-58-59,254.127960,-303.593600
2024-01-08-16-59-00,255.450891,-322.197896
2024-01-08-16-59-01,256.461287,-338.641137
2024-01-08-16-59-02,257.492007,-354.059009
2024-01-08-16-59-03,258.514910,-367.817348
2024-01-08-16-59-04,259.518591,-384.336454
2024-01-08-16-59-05,260.539996,-399.677503
2024-01-08-16-59-06,261.568862,-415.121539
2024-01-08-16-59-07,262.604114,-428.972534
2024-01-08-16-59-08,263.604942,-444.901123
2024-01-08-16-59-09,264.638288,-449.000581
2024-01-08-16-59-14,269.033847,-445.716454
2024-01-08-16-59-15,270.038936,-430.321622
2024-01-08-16-59-16,271.066786,-415.012044
2024-01-08-16-59-17,272.106512,-399.642759
2024-01-08-16-59-18,273.120199,-384.665115
2024-01-08-16-59-19,274.121511,-370.624553
2024-01-08-16-59-20,275.132847,-354.046745
2024-01-08-16-59-21,276.159617,-338.452559
2024-01-08-16-59-22,277.192669,-323.045720
2024-01-08-16-59-23,278.498792,-303.779083
2024-01-08-16-59-24,279.513476,-289.958322
2024-01-08-16-59-25,280.527060,-272.951759
2024-01-08-16-59-26,281.552929,-257.734046
2024-01-08-16-59-27,282.584904,-242.082614
2024-01-08-16-59-28,283.613421,-227.802463
2024-01-08-16-59-29,284.622615,-211.524802
2024-01-08-16-59-30,285.652114,-196.099888
2024-01-08-16-59-31,286.679818,-180.642572
2024-01-08-16-59-33,287.987625,-161.472540
2024-01-08-16-59-34,288.988289,-147.358272
2024-01-08-16-59-35,289.994410,-132.354617
2024-01-08-16-59-36,291.007863,-115.805743
2024-01-08-16-59-37,292.029241,-100.603604
2024-01-08-16-59-38,293.047056,-85.185321
2024-01-08-16-59-39,294.074856,-70.484245
2024-01-08-16-59-40,295.084904,-56.068573
2024-01-08-16-59-41,296.098673,-39.572293
2024-01-08-16-59-42,297.123846,-24.146242
2024-01-08-16-59-43,298.151471,-8.689084
